Data e hora,minuto,Temperatura (c),Umidade
13:43:04 03/05/2021,0,9.800000190734863,99.9000015258789
13:53:05 03/05/2021,10,10.0,99.9000015258789
14:03:08 03/05/2021,20,10.800000190734863,99.9000015258789
14:13:09 03/05/2021,30,10.800000190734863,99.9000015258789
14:23:12 03/05/2021,40,11.699999809265137,99.9000015258789
14:33:12 03/05/2021,50,11.600000381469727,99.9000015258789
14:43:13 03/05/2021,60,12.0,99.9000015258789
14:53:13 03/05/2021,70,12.600000381469727,99.9000015258789
15:03:14 03/05/2021,80,12.699999809265137,99.9000015258789
15:13:15 03/05/2021,90,13.0,99.9000015258789
15:23:15 03/05/2021,100,13.300000190734863,99.9000015258789
15:33:16 03/05/2021,110,13.600000381469727,99.9000015258789
15:43:17 03/05/2021,120,13.800000190734863,99.9000015258789
15:53:17 03/05/2021,130,14.0,99.9000015258789
16:03:18 03/05/2021,140,14.300000190734863,99.9000015258789
16:13:18 03/05/2021,150,14.5,99.9000015258789
16:23:19 03/05/2021,160,14.800000190734863,99.9000015258789
16:33:22 03/05/2021,170,15.100000381469727,99.9000015258789
16:43:23 03/05/2021,180,15.0,99.9000015258789
16:53:23 03/05/2021,190,15.199999809265137,99.9000015258789
17:03:24 03/05/2021,200,15.399999618530273,99.9000015258789
17:13:25 03/05/2021,210,15.600000381469727,99.9000015258789
17:23:25 03/05/2021,220,15.699999809265137,99.9000015258789
17:33:26 03/05/2021,230,15.899999618530273,99.9000015258789
17:43:27 03/05/2021,240,16.0,99.9000015258789
17:53:27 03/05/2021,250,16.200000762939453,99.9000015258789
18:03:28 03/05/2021,260,16.299999237060547,99.9000015258789
18:13:28 03/05/2021,270,16.399999618530273,99.9000015258789
18:23:29 03/05/2021,280,16.600000381469727,99.9000015258789
18:33:32 03/05/2021,290,16.799999237060547,99.9000015258789
18:43:33 03/05/2021,300,16.799999237060547,99.9000015258789
18:53:33 03/05/2021,310,16.899999618530273,99.9000015258789
19:03:36 03/05/2021,320,17.200000762939453,99.9000015258789
19:13:40 03/05/2021,330,17.299999237060547,99.9000015258789
19:23:40 03/05/2021,340,17.299999237060547,99.9000015258789
19:33:41 03/05/2021,350,17.399999618530273,99.9000015258789
19:43:41 03/05/2021,360,17.5,99.9000015258789
19:53:42 03/05/2021,370,17.600000381469727,99.9000015258789
20:03:43 03/05/2021,380,17.700000762939453,99.9000015258789
20:13:43 03/05/2021,390,17.799999237060547,99.9000015258789
20:23:44 03/05/2021,400,17.899999618530273,99.9000015258789
20:33:44 03/05/2021,410,18.0,99.9000015258789
20:43:48 03/05/2021,420,18.200000762939453,99.9000015258789
20:53:48 03/05/2021,430,18.200000762939453,99.9000015258789
21:03:54 03/05/2021,440,18.299999237060547,99.9000015258789
21:13:54 03/05/2021,450,18.299999237060547,99.9000015258789
21:23:55 03/05/2021,460,18.5,99.9000015258789
21:33:56 03/05/2021,470,18.5,99.9000015258789
21:43:56 03/05/2021,480,18.600000381469727,99.9000015258789
21:53:57 03/05/2021,490,18.700000762939453,99.9000015258789
